x,Curve1
-0.00893,269.211
0.08929,251.842
0.16964,233.684
0.25,214.737
0.33929,196.579
0.41964,178.421
0.54464,161.842
0.66964,146.053
0.80357,130.263
0.94643,116.053
1.10714,101.842
1.26786,88.421
1.4375,76.579
1.64286,67.895
1.83929,59.211
2.05357,54.474
2.25893,49.737
2.46429,45.789
2.67857,42.632
