SeqNumber,temperature,iterSteps,A1,B1,E1,A2,B2,E2,Error
0,1100.0,149,7.038552441167098e+36,5.629177342452371,224904.6642312989,3677792488689426.0,0.10859324979930347,10768713.72239052,0.00010326997908984924
1,1177.7777777777778,149,3278.8848848162543,3.2351303393063358,14482.70708278722,3.951262839915188e+44,0.8364929744539269,83712908.63898115,0.006953408145492408
2,1255.5555555555557,149,9933761.60075636,1.8723101808494056,6998.815278278228,152149536.76576388,0.04830976105614297,286.6421650636379,0.001055153799962671
3,1333.3333333333333,42,6.560786116391698e+35,0.37431902016788865,159244.25033463133,4053077313859.5684,4.776208293305475,7973124.101681965,0.14453158591760548

0,1100.0,149,12.265941638218777,2.7002916512120025,63.62437425833368,3.566133071751828e+31,0.4302507090074189,41070511.11091272,0.0001054542039092892
1,1200.0,149,11671474.04861206,1.3283053539656757,288.72608900423893,6.256831161881315,2.42606178446649,3588.039539330292,0.0030492067111760695
2,1300.0,149,3433.1040183923105,2.662332669560431,0.000474417839248051,3.020595517966907e+20,0.21588643958450127,73963.85506361765,0.00024755067154924154
3,1400.0,149,115508801.15703113,1.341186750128047,0.0014457456260549774,7.383820102949778e+23,7.88051144369359,250063.4404249081,1.026013499135778e-05
4,1500.0,149,3.671833828269901,4.280502751651174,20451.602331995913,202947000239424.78,0.4351507112820086,46106.20010149271,0.0076654338824285245
5,1600.0,149,340812692545.4683,0.9577054208153115,3.5988944458473564,95795233.76188461,6.40558016734972,116046.53935503896,2.2824152122390565e-06
6,1700.0,20,12.54616415923787,5.903189336205081,49085.369222622074,10707210.317895766,1.618802460637323,572.0445425465475,0.0003523633955617459

0,1100.0,149,1.0526319605803698e+35,0.047591203957551474,130261.32522860583,2.7080472220977674e+47,0.0014035994926225523,73280013.36794485,0.00010427485213047087
1,1200.0,149,1549264.1200679776,7.602568628184282,101669.16518944464,13188140.992815925,0.1759097753338188,214.64978629934265,0.0026888426516568247
2,1300.0,149,949649.7446046933,1.6917142749959708,104.0698785586567,50170496.27015103,0.15324241196906147,40562154969.89021,0.09912267504655127
3,1400.0,149,537.6764939820494,2.8365176804630594,51.12274512795718,1.264778566317309e+24,0.23002137834604874,101320.69493096379,0.0023507812122724376
4,1500.0,149,2.9127697232958056e+29,7.111622868375724,115615486.77887192,412.3595535302144,1.683265395766716,0.0018843429862373518,0.20243252891493171
5,1600.0,149,702144.5525773228,0.836498062524283,3351093810.8524103,7.857380365937449e+36,2.2114807306770548,261283.26993377128,0.1619890606735602
6,1700.0,149,1.0535427481898466e+50,1.5498581546741597,71869002.96129337,172821.9210788091,1.3917492747685174,8853.592847531834,0.13427040126934375
7,1800.0,149,3.5024015216051228e+34,5.497647894999433,331770.24642135313,1355569597.2810173,0.4984269579054993,0.002836569615114795,0.0014136263372857255

0,1100.0,149,610.4574335119447,2.335668100487077,3027.6009786515306,12758.82573931505,6.776810836612718,3577289.612986657,0.00010544465216588381
1,1200.0,149,2392601277246188.5,4.487801027369964,99467.04178916657,2.827446147286019e+38,2.9148314594909173,218906.312723571,0.002768840940174803
2,1300.0,149,11904813967.137197,0.3703632330384628,0.20076808506503008,3.815849834430203e+17,1.4328902100359007,258606269.6577653,0.09910663923294889
3,1400.0,149,2623776.518525805,3.2174918326655253,39297.08620571128,1.5609229339255077e+49,7.623396646545414,33810551.028541304,0.22659445558448388
0,1500.0,149,1492.6613259412384,6.833998333214803,76275.19602636796,127.27231065245738,3.5606549191318635,12770.783974543008,2.837376470636302e-06
1,1600.0,149,4.239409197168247e+23,4.807338107321193,70198440078.86398,19038.556405990505,1.6182604726821124,8477.246247914143,0.1601575239379247
2,1700.0,149,2.3773892561832654e+43,0.21865774300738894,251833.3619096537,84040.84232443519,1.5797726352560295,0.0006751686630684808,4.051067925197664e-05

0,1500.0,149,5551357589842.278,3.254488594590405,59027.38113260908,8.315745951868696e+29,0.7102653734284973,136758.12236109728,3.375138980157838e-06
1,1600.0,149,10603755592728.01,1.7674660237261495,29944.72545780068,11.016966120674166,3.631406191675866,63.899044541283054,2.347609775023968e-06
2,1700.0,149,3.037285408242606e+28,1.5327904654826432,126955.23518602845,7.836993058500888e+39,5.002516527472315,316338.2759444104,7.386267600177366e-05
3,1800.0,149,4.943584933614656,9.461311779066186,150975.31152035875,290768780258.9759,0.1023174979459298,421.6283343452329,0.0014133673439949267
0,1400.0,149,5622023.136759542,1.6958363760711306,85.29409588912482,3.0181646457937284e+16,1.2920428980609562,71085.6692034887,6.504231477602325e-05
1,1300.0,149,2982030.372974903,3.379763292133685,18925.436868203047,3.772042924031236e+21,8.120993919177835,215161.51346369408,0.00422657889652531
2,1200.0,149,483.64274702566604,2.7441715120340393,175.9034997609458,8.471627108136828e+33,6.773632463090221,259349.5090989674,0.0031045179604604436
3,1100.0,149,4809402106352056.0,6.689004779660129,134585.21506142465,2.9599594288963096e+50,0.0042764936408488,572364.2801969158,0.00010409869636641537

0,1800.0,149,3.064094634956762e+17,7.00851234507805,3513253833.399493,22468.448453516696,1.5070799521885518,298.4845009826565,0.07521681394705522
1,1700.0,149,4.326433158320287e+35,1.699478244696354,9328333.324558623,217663082.5609072,0.08641427917060228,160.8391412213786,0.13414831863401175
0,1800.0,149,60071554355042.375,0.018207188095083142,37880114966.80734,1.3415096762077847e+24,6.893135231205715,307464.1460016326,0.07613693196537898
1,1700.0,149,1.9442920586905537e+36,9.869064727829855,439570.0646692399,5755900490.253889,0.08799327955050891,339.6669892440678,4.0352511474334785e-05
2,1600.0,149,8.617221598546445e+38,0.0005068185276341309,30103048461.077503,1.0397178524797342e+23,1.1362903138861788,134400.0171233261,0.16104733416200648
3,1500.0,149,-1.6829546352965874e+27,10.336440247936299,-18.499731477240193,1368.8260227625829,44.925706145553725,1172.8603841442273,inf
