Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NO2 end point,Mole fraction NO end point,Mole fraction N2O end point
       0.7898000000000000,       0.0000000000000000,        100.0000000000000,       0.0000000000000000,       0.0000000000000000,       0.1500000000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7895180000000001,   8.100000000000000E-005,        100.0000000000000,   3.000000000000000E-007,    0.0001920000000000000,       0.1500090000000000,   1.701137000000000E-008,    0.0001999829000000000,       0.0000000000000000
       0.7889530000000000,    0.0002430000000000000,        100.0000000000000,   9.000000000000000E-007,    0.0005760000000000000,       0.1500270000000000,   1.701139000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7883880000000000,    0.0004050000000000000,        100.0000000000000,   1.500000000000000E-006,    0.0009600000000000000,       0.1500450000000000,   1.701141000000000E-008,    0.0001999831000000000,       0.0000000000000000
       0.7878240000000000,    0.0005670000000000000,        100.0000000000000,   2.100000000000000E-006,     0.001340000000000000,       0.1500630000000000,   1.701158000000000E-008,    0.0001999838000000000,       0.0000000000000000
       0.7872590000000000,    0.0007290000000000001,        100.0000000000000,   2.700000000000000E-006,     0.001730000000000000,       0.1500810000000000,   1.701129000000000E-008,    0.0001999827000000000,       0.0000000000000000
       0.7895040000000000,    0.0001020000000000000,        100.0000000000000,   3.150000000000000E-005,   6.900000000000000E-005,       0.1500930000000000,   1.701141000000000E-008,    0.0001999831000000000,       0.0000000000000000
       0.7866950000000000,    0.0008910000000000000,        100.0000000000000,   3.300000000000000E-006,     0.002110000000000000,       0.1500990000000000,   1.701147000000000E-008,    0.0001999833000000000,       0.0000000000000000
       0.7861300000000000,     0.001050000000000000,        100.0000000000000,   3.900000000000000E-006,     0.002500000000000000,       0.1501170000000000,   1.701133000000000E-008,    0.0001999828000000000,       0.0000000000000000
       0.7855660000000000,     0.001220000000000000,        100.0000000000000,   4.500000000000000E-006,     0.002880000000000000,       0.1501350000000000,   1.701110000000000E-008,    0.0001999819000000000,       0.0000000000000000
       0.7850010000000000,     0.001380000000000000,        100.0000000000000,   5.100000000000000E-006,     0.003260000000000000,       0.1501530000000000,   1.701143000000000E-008,    0.0001999832000000000,       0.0000000000000000
       0.7844360000000000,     0.001540000000000000,        100.0000000000000,   5.700000000000000E-006,     0.003650000000000000,       0.1501710000000000,   1.701124000000000E-008,    0.0001999825000000000,       0.0000000000000000
       0.7838720000000000,     0.001700000000000000,        100.0000000000000,   6.300000000000000E-006,     0.004030000000000000,       0.1501890000000000,   1.701152000000000E-008,    0.0001999835000000000,       0.0000000000000000
       0.7833070000000000,     0.001860000000000000,        100.0000000000000,   6.900000000000000E-006,     0.004420000000000000,       0.1502070000000000,   1.701133000000000E-008,    0.0001999828000000000,       0.0000000000000000
       0.7827420000000001,     0.002030000000000000,        100.0000000000000,   7.500000000000000E-006,     0.004800000000000000,       0.1502250000000000,   1.701115000000000E-008,    0.0001999821000000000,       0.0000000000000000
       0.7821780000000000,     0.002190000000000000,        100.0000000000000,   8.100000000000000E-006,     0.005180000000000000,       0.1502430000000000,   1.701143000000000E-008,    0.0001999832000000000,       0.0000000000000000
       0.7889140000000000,    0.0003060000000000000,        100.0000000000000,   9.450000000000001E-005,    0.0002070000000000000,       0.1502790000000000,   1.701135000000000E-008,    0.0001999829000000000,       0.0000000000000000
       0.7883220000000000,    0.0005100000000000000,        100.0000000000000,    0.0001580000000000000,    0.0003450000000000000,       0.1504650000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7877320000000000,    0.0007140000000000000,        100.0000000000000,    0.0002200000000000000,    0.0004830000000000000,       0.1506510000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7871400000000000,    0.0009180000000000000,        100.0000000000000,    0.0002840000000000000,    0.0006210000000000000,       0.1508370000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7865500000000000,     0.001122000000000000,        100.0000000000000,    0.0003460000000000000,    0.0007590000000000000,       0.1510230000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7859580000000001,     0.001326000000000000,        100.0000000000000,    0.0004100000000000000,    0.0008970000000000000,       0.1512090000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7853680000000000,     0.001530000000000000,        100.0000000000000,    0.0004720000000000000,     0.001035000000000000,       0.1513950000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7847760000000000,     0.001734000000000000,        100.0000000000000,    0.0005360000000000000,     0.001173000000000000,       0.1515810000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7841860000000001,     0.001938000000000000,        100.0000000000000,    0.0005980000000000000,     0.001311000000000000,       0.1517670000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7835940000000000,     0.002142000000000000,        100.0000000000000,    0.0006620000000000001,     0.001449000000000000,       0.1519530000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
       0.7830040000000000,     0.002346000000000000,        100.0000000000000,    0.0007240000000000000,     0.001587000000000000,       0.1521390000000000,   1.701138000000000E-008,    0.0001999830000000000,       0.0000000000000000
