Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for NO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
925,0.00099,0.00066,2.86E-05,2.28E-05,1.78E-06,1.37E-05
950,0.00099,0.00066,4.12E-08,3.28E-05,8.82E-07,1.06E-05
975,0.00099,0.00066,1.05E-10,4.73E-05,6.90E-07,8.23E-06
1000,0.00099,0.00066,4.24E-13,6.69E-05,7.40E-07,5.64E-06
1025,0.00099,0.00066,-2.64E-13,9.31E-05,8.06E-07,3.26E-06
1050,0.00099,0.00066,2.51E-12,0.000127095,8.58E-07,1.51E-06
1075,0.00099,0.00066,-4.67E-16,0.000169724,8.96E-07,5.16E-07
1100,0.00099,0.00066,1.23E-14,0.000221006,9.55E-07,1.29E-07
1125,0.00099,0.00066,-4.97E-16,0.000279796,1.06E-06,3.71E-08
1150,0.00099,0.00066,-7.28E-16,0.000343951,1.17E-06,2.80E-08
1175,0.00099,0.00066,3.35E-17,0.000410937,1.29E-06,3.08E-08
1200,0.00099,0.00066,6.26E-17,0.000478466,1.38E-06,3.44E-08
1225,0.00099,0.00066,8.56E-17,0.000544791,1.45E-06,3.85E-08
1250,0.00099,0.00066,1.29E-16,0.000608723,1.51E-06,4.29E-08
550,0.00141,0.00094,0.001409999,0.00093995,4.93E-08,0
575,0.00141,0.00094,0.001409998,0.000939951,4.71E-08,0
600,0.00141,0.00094,0.001409996,0.000939949,4.63E-08,0
625,0.00141,0.00094,0.001409989,0.000939941,4.79E-08,0
650,0.00141,0.00094,0.001409974,0.00093992,5.41E-08,0
675,0.00141,0.00094,0.00140994,0.00093987,6.97E-08,0
700,0.00141,0.00094,0.001409861,0.000939757,1.04E-07,0
725,0.00141,0.00094,0.001409683,0.000939507,1.77E-07,0
750,0.00141,0.00094,0.001409273,0.000938942,3.34E-07,0
775,0.00141,0.00094,0.001408271,0.000937601,6.81E-07,0
800,0.00141,0.00094,0.001405513,0.000934024,1.54E-06,0
825,0.00141,0.00094,0.001395182,0.000921153,4.35E-06,1.89E-08
850,0.00141,0.00094,0.001298529,0.00081582,2.06E-05,7.79E-07
875,0.00141,0.00094,0.000737234,0.000357571,2.33E-05,1.34E-05
900,0.00141,0.00094,0.000289131,6.68E-05,7.03E-06,2.66E-05
925,0.00141,0.00094,2.60E-05,2.25E-05,1.60E-06,1.35E-05
950,0.00141,0.00094,5.30E-09,3.41E-05,7.34E-07,1.12E-05
975,0.00141,0.00094,1.30E-12,4.92E-05,6.63E-07,9.07E-06
1000,0.00141,0.00094,-3.07E-12,7.02E-05,7.31E-07,6.35E-06
1025,0.00141,0.00094,-1.56E-12,9.91E-05,8.17E-07,3.66E-06
1050,0.00141,0.00094,5.11E-12,0.000137668,8.88E-07,1.64E-06
1075,0.00141,0.00094,2.61E-16,0.000187265,9.48E-07,5.32E-07
1100,0.00141,0.00094,-6.91E-17,0.000248615,1.04E-06,1.23E-07
1125,0.00141,0.00094,4.14E-16,0.000321063,1.18E-06,3.56E-08
1150,0.00141,0.00094,2.22E-14,0.000402407,1.35E-06,2.82E-08
1175,0.00141,0.00094,6.43E-17,0.00048942,1.51E-06,3.14E-08
1200,0.00141,0.00094,1.02E-16,0.000578809,1.64E-06,3.53E-08
1225,0.00141,0.00094,1.45E-16,0.000667861,1.76E-06,3.95E-08
1250,0.00141,0.00094,2.17E-16,0.000754644,1.84E-06,4.41E-08
550,0.00183,0.00122,0.001829999,0.001219916,8.28E-08,0
575,0.00183,0.00122,0.001829998,0.001219919,7.88E-08,0
600,0.00183,0.00122,0.001829994,0.001219917,7.67E-08,0
625,0.00183,0.00122,0.001829986,0.001219908,7.78E-08,0
650,0.00183,0.00122,0.001829966,0.001219881,8.51E-08,0
675,0.00183,0.00122,0.001829921,0.001219816,1.04E-07,0
700,0.00183,0.00122,0.001829819,0.00121967,1.48E-07,0
725,0.00183,0.00122,0.001829587,0.001219345,2.43E-07,0
750,0.00183,0.00122,0.001829053,0.001218612,4.44E-07,0
775,0.00183,0.00122,0.001827756,0.00121688,8.89E-07,0
800,0.00183,0.00122,0.001824236,0.001212318,1.97E-06,0
825,0.00183,0.00122,0.001811712,0.00119672,5.33E-06,2.22E-08
850,0.00183,0.00122,0.001718811,0.00109315,2.19E-05,6.16E-07
875,0.00183,0.00122,0.000997148,0.000488292,2.88E-05,1.53E-05
900,0.00183,0.00122,0.000348323,5.89E-05,5.99E-06,3.27E-05
925,0.00183,0.00122,2.18E-05,2.33E-05,1.58E-06,1.22E-05
950,0.00183,0.00122,9.16E-10,3.60E-05,6.74E-07,1.09E-05
975,0.00183,0.00122,-2.57E-12,5.18E-05,6.44E-07,9.21E-06
1000,0.00183,0.00122,-2.91E-12,7.41E-05,7.24E-07,6.57E-06
1025,0.00183,0.00122,1.19E-15,0.000105157,8.23E-07,3.76E-06
1050,0.00183,0.00122,2.47E-13,0.000147305,9.06E-07,1.63E-06
1075,0.00183,0.00122,2.83E-13,0.000202558,9.85E-07,5.01E-07
1100,0.00183,0.00122,-7.61E-15,0.000272186,1.11E-06,1.10E-07
1125,0.00183,0.00122,-9.57E-14,0.000356068,1.29E-06,3.34E-08
1150,0.00183,0.00122,-2.94E-17,0.00045215,1.49E-06,2.88E-08
1175,0.00183,0.00122,9.39E-17,0.000556777,1.69E-06,3.21E-08
