Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Pressure C1 PFR PFR (C1)_(atm),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Plug flow residence time end point_(sec),Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction CO end point,Mole fraction CH4 end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0,0,0.15,0,25,1,725,0.00024,1.799998,0.000199728,0.000239817,0,0,0,9.23E-08,0
0,0,0.15,0,25,1,750,0.00024,1.799995,0.000199373,0.000239558,0,0,0,1.95E-07,0
0,0,0.15,0,25,1,775,0.00024,1.799988,0.000198397,0.000238815,0,0,0,4.57E-07,0
0,0,0.15,0,25,1,800,0.00024,1.79996,0.000194322,0.000235521,1.24E-08,0,0,1.45E-06,0
0,0,0.15,0,25,1,825,0.00024,1.7996,0.000149122,0.000188668,1.84E-07,0,2.66E-08,7.90E-06,7.24E-07
0,0,0.15,0,25,1,850,0.00024,1.798524,7.62E-05,8.23E-05,6.78E-07,0,6.90E-08,6.99E-06,3.93E-06
0,0,0.15,0,25,1,875,0.00024,1.797609,4.37E-05,2.00E-05,1.07E-06,0,4.92E-08,4.39E-06,5.55E-06
0,0,0.15,0,25,1,900,0.00024,1.797029,3.97E-05,1.22E-06,1.05E-06,0,6.49E-09,2.53E-06,4.71E-06
0,0,0.15,0,25,1,925,0.00024,1.796757,4.53E-05,8.25E-09,6.91E-07,0,2.13E-10,1.10E-06,3.18E-06
0,0,0.15,0,25,1,950,0.00024,1.796663,5.23E-05,-8.03E-12,4.42E-07,0,1.38E-10,6.76E-07,1.78E-06
0,0,0.15,0,25,1,975,0.00024,1.796663,6.13E-05,-2.98E-11,3.20E-07,0,1.33E-10,5.88E-07,7.95E-07
0,0,0.15,0,25,1,1000,0.00024,1.796715,7.31E-05,4.08E-13,2.61E-07,0,1.36E-10,5.44E-07,2.64E-07
0,0,0.15,0,25,1,1025,0.00024,1.796799,8.78E-05,-1.85E-16,2.31E-07,0,1.59E-10,5.28E-07,6.57E-08
