Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction O2 end point,Mole fraction NO end point,Mole fraction NH3 end point,Mole fraction NO2 end point,Mole fraction N2O end point
700,0.00036,0.05999998,0.000199949,0.000359966,1.79E-08,0
725,0.00036,0.05999996,0.000199885,0.000359921,3.66E-08,0
750,0.00036,0.05999991,0.000199732,0.000359808,7.95E-08,0
775,0.00036,0.05999976,0.000199304,0.000359481,1.93E-07,0
800,0.00036,0.05999913,0.00019747,0.000358024,6.43E-07,0
825,0.00036,0.05998932,0.000172199,0.000335039,5.57E-06,2.10E-07
850,0.00036,0.0599569,0.000109892,0.000257467,9.08E-06,2.33E-06
875,0.00036,0.05991775,5.68E-05,0.000169795,6.40E-06,5.73E-06
900,0.00036,0.05987128,2.31E-05,8.25E-05,2.56E-06,7.64E-06
925,0.00036,0.05982461,1.73E-05,1.50E-05,1.40E-06,5.77E-06
950,0.00036,0.05981063,2.41E-05,4.27E-07,9.53E-07,4.54E-06
975,0.00036,0.0598057,3.43E-05,4.10E-09,5.87E-07,3.50E-06
1000,0.00036,0.05979937,4.76E-05,2.53E-11,5.70E-07,2.45E-06
1025,0.00036,0.05979111,6.47E-05,5.25E-12,6.03E-07,1.49E-06
1050,0.00036,0.05978083,8.58E-05,8.48E-14,6.26E-07,7.48E-07
1075,0.00036,0.05976872,0.000110302,2.11E-12,6.36E-07,2.90E-07
1100,0.00036,0.05975521,0.00013734,-1.23E-12,6.48E-07,8.98E-08
1125,0.00036,0.05974093,0.000165727,-7.19E-14,6.71E-07,3.58E-08
1150,0.00036,0.05972651,0.000194375,1.32E-16,6.99E-07,2.92E-08
1175,0.00036,0.05971242,0.000222404,1.31E-17,7.23E-07,3.08E-08
1200,0.00036,0.059699,0.000249187,1.46E-17,7.40E-07,3.37E-08
1225,0.00036,0.05968647,0.000274326,-4.78E-14,7.50E-07,3.73E-08
1250,0.00036,0.05967496,0.000297612,3.44E-17,7.52E-07,4.13E-08
550,0.00048,0.06,0.000199998,0.00048,0,0
575,0.00048,0.06,0.000199997,0.00048,0,0
600,0.00048,0.06,0.000199996,0.000479999,0,0
625,0.00048,0.06,0.000199993,0.000479997,0,0
650,0.00048,0.06,0.000199987,0.000479993,0,0
