Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction H2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0.0006,1125,1.24E-17,0.000399069,2.19E-09,1.53E-06,3.09E-08
0.0006,1150,1.72E-17,0.000405981,3.06E-09,1.41E-06,2.79E-08
0.0006,1175,-3.87E-17,0.000411776,4.32E-09,1.30E-06,3.05E-08
0.0006,1200,3.31E-17,0.000416623,6.08E-09,1.21E-06,3.39E-08
0.0006,1225,5.31E-17,0.000420686,8.50E-09,1.13E-06,3.77E-08
0.0006,1250,8.40E-17,0.000424139,1.18E-08,1.06E-06,4.19E-08
0.0009,550,0.000299999,0.000199995,0.000899998,0,0
0.0009,575,0.000299992,0.000199971,0.000899982,2.08E-08,0
0.0009,600,0.000284437,0.000168028,0.000864709,1.92E-05,4.39E-07
0.0009,625,0.000225113,0.000123277,0.000718972,2.79E-05,4.61E-06
0.0009,650,0.000160005,8.62E-05,0.00053499,2.49E-05,1.09E-05
0.0009,675,9.79E-05,5.09E-05,0.000334343,1.94E-05,1.86E-05
0.0009,700,5.35E-05,2.79E-05,0.000174252,1.29E-05,2.44E-05
0.0009,725,2.48E-05,1.91E-05,7.32E-05,8.44E-06,2.52E-05
0.0009,750,5.11E-06,2.99E-05,1.67E-05,7.81E-06,2.23E-05
0.0009,775,6.22E-07,7.40E-05,2.82E-06,8.69E-06,2.10E-05
0.0009,800,1.30E-07,0.000128814,7.04E-07,8.66E-06,2.23E-05
0.0009,825,2.85E-08,0.000180233,1.69E-07,8.08E-06,2.34E-05
0.0009,850,4.14E-09,0.000225096,2.75E-08,7.28E-06,2.33E-05
0.0009,875,3.07E-10,0.000263174,4.04E-09,6.48E-06,2.20E-05
0.0009,900,1.09E-11,0.000295163,2.15E-09,5.81E-06,1.95E-05
0.0009,925,7.99E-14,0.000322003,1.94E-09,5.23E-06,1.62E-05
0.0009,950,6.90E-15,0.000344573,1.74E-09,4.66E-06,1.23E-05
0.0009,975,2.67E-16,0.000363563,1.56E-09,4.08E-06,8.38E-06
0.0009,1000,-3.42E-17,0.000379514,1.44E-09,3.48E-06,4.92E-06
0.0009,1025,-4.40E-17,0.000392881,1.38E-09,2.91E-06,2.36E-06
0.0009,1050,-2.82E-15,0.00040404,1.42E-09,2.40E-06,8.79E-07
0.0009,1075,1.82E-17,0.000413301,1.62E-09,2.02E-06,2.42E-07
0.0009,1100,-6.45E-18,0.000420957,2.06E-09,1.78E-06,5.85E-08
0.0009,1125,4.59E-17,0.000427275,2.83E-09,1.61E-06,2.83E-08
0.0009,1150,1.83E-17,0.000432474,4.01E-09,1.48E-06,2.78E-08
0.0009,1175,3.09E-17,0.00043673,5.69E-09,1.37E-06,3.07E-08
0.0009,1200,4.98E-17,0.000440201,8.03E-09,1.27E-06,3.42E-08
0.0009,1225,7.98E-17,0.000443048,1.12E-08,1.18E-06,3.80E-08
0.0009,1250,1.25E-16,0.000445428,1.55E-08,1.10E-06,4.22E-08
0.0012,550,0.000299998,0.00019999,0.001199994,0,0
0.0012,575,0.000295966,0.000186748,0.001188241,9.45E-06,5.02E-08
0.0012,600,0.000239151,0.000129936,0.001011907,3.29E-05,3.94E-06
0.0012,625,0.000170359,9.52E-05,0.000764801,3.05E-05,1.08E-05
0.0012,650,0.000104959,6.11E-05,0.000491575,2.54E-05,1.92E-05
0.0012,675,5.66E-05,3.63E-05,0.000261665,1.88E-05,2.64E-05
0.0012,700,2.81E-05,2.43E-05,0.000119431,1.30E-05,2.85E-05
0.0012,725,8.83E-06,2.64E-05,3.72E-05,1.02E-05,2.55E-05
0.0012,750,1.11E-06,6.03E-05,6.33E-06,1.05E-05,2.21E-05
0.0012,775,2.00E-07,0.00011738,1.46E-06,1.05E-05,2.28E-05
0.0012,800,4.90E-08,0.00017407,4.02E-07,9.90E-06,2.42E-05
0.0012,825,9.25E-09,0.000223571,8.31E-08,8.97E-06,2.45E-05
0.0012,850,9.20E-10,0.000265147,1.11E-08,7.98E-06,2.35E-05
0.0012,875,5.12E-11,0.000299663,3.16E-09,7.09E-06,2.13E-05
0.0012,900,7.73E-13,0.000328291,2.55E-09,6.33E-06,1.82E-05
0.0012,925,1.07E-14,0.000352116,2.24E-09,5.63E-06,1.46E-05
0.0012,950,3.99E-16,0.000372001,1.94E-09,4.93E-06,1.08E-05
