Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Reactant Fraction for NH3 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for N2 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
       0.0000000000000000,        75.00000000000000,    0.0003000000000000000,       0.1500000000000000,        550.0000000000000,       0.0000000000000000,       0.7895000000000000,       0.0000000000000000,    0.0002999999000000000,    0.0001999975000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0003600000000000000,       0.1500930000000000,        550.0000000000000,       0.0000000000000000,       0.7892040000000000,       0.0000000000000000,    0.0003600513000000000,    0.0002000261000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0004000000000000000,       0.1502790000000000,        550.0000000000000,       0.0000000000000000,       0.7886140000000000,       0.0000000000000000,    0.0004002028000000000,    0.0002000990000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0003000000000000000,       0.1500000000000000,        550.0000000000000,       0.0000000000000000,       0.7894400000000000,       0.0000000000000000,    0.0003000179000000000,    0.0002000095000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0003000000000000000,       0.1500930000000000,        550.0000000000000,       0.0000000000000000,       0.7891440000000000,       0.0000000000000000,    0.0003000788000000000,    0.0002000502000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0003000000000000000,       0.1502790000000000,        550.0000000000000,       0.0000000000000000,       0.7885540000000000,       0.0000000000000000,    0.0003002001000000000,    0.0002001310000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0003600000000000000,       0.1500000000000000,        550.0000000000000,       0.0000000000000000,       0.7894000000000000,       0.0000000000000000,    0.0003600143000000000,    0.0002000055000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0004000000000000000,       0.1500930000000000,        550.0000000000000,       0.0000000000000000,       0.7891040000000000,       0.0000000000000000,    0.0004000811000000000,    0.0002000381000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        75.00000000000000,    0.0003000000000000000,       0.1502790000000000,        550.0000000000000,       0.0000000000000000,       0.7885140000000001,       0.0000000000000000,    0.0003002121000000000,    0.0002001390000000000,       0.0000000000000000,       0.0000000000000000
       0.0000000000000000,        50.00000000000000,    0.0003000000000000000,       0.1500000000000000,        550.0000000000000,       0.0000000000000000,       0.7895000000000000,       0.0000000000000000,    0.0002999998000000000,    0.0001999963000000000,       0.0000000000000000,       0.0000000000000000
    0.0001920000000000000,        50.00000000000000,    0.0003000000000000000,       0.1500930000000000,        550.0000000000000,   3.000000000000000E-007,       0.7892040000000000,   8.100000000000000E-005,    0.0002999784000000000,    0.0001999816000000000,       0.0000000000000000,       0.0000000000000000
    0.0001920000000000000,        50.00000000000000,    0.0003600000000000000,       0.1502790000000000,        550.0000000000000,   3.000000000000000E-007,       0.7886140000000000,   8.100000000000000E-005,    0.0003600980000000000,    0.0002000504000000000,       0.0000000000000000,       0.0000000000000000
    0.0001920000000000000,        25.00000000000000,    0.0004000000000000000,       0.1500000000000000,        550.0000000000000,   3.000000000000000E-007,       0.7895000000000000,   8.100000000000000E-005,    0.0003998496000000000,    0.0001999166000000000,       0.0000000000000000,       0.0000000000000000
    0.0001920000000000000,        25.00000000000000,    0.0003000000000000000,       0.1500930000000000,        550.0000000000000,   3.000000000000000E-007,       0.7892040000000000,   8.100000000000000E-005,    0.0002999779000000000,    0.0001999773000000000,       0.0000000000000000,       0.0000000000000000
    0.0001920000000000000,        25.00000000000000,    0.0003000000000000000,       0.1502790000000000,        550.0000000000000,   3.000000000000000E-007,       0.7886140000000000,   8.100000000000000E-005,    0.0003000992000000000,    0.0002000581000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,        75.00000000000000,    0.0003000000000000000,       0.1500000000000000,        550.0000000000000,   9.000000000000000E-007,       0.7895000000000000,    0.0002430000000000000,    0.0002997533000000000,    0.0001998317000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,        75.00000000000000,    0.0003600000000000000,       0.1500090000000000,        550.0000000000000,   9.000000000000000E-007,       0.7892180000000000,    0.0002430000000000000,    0.0003597807000000000,    0.0001998744000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,        75.00000000000000,    0.0004000000000000000,       0.1500270000000000,        550.0000000000000,   9.000000000000000E-007,       0.7886530000000001,    0.0002430000000000000,    0.0003999591000000000,    0.0001999757000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,        75.00000000000000,    0.0003000000000000000,       0.1500000000000000,        550.0000000000000,   9.000000000000000E-007,       0.7894400000000000,    0.0002430000000000000,    0.0002997713000000000,    0.0001998437000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,        75.00000000000000,    0.0003000000000000000,       0.1500090000000000,        550.0000000000000,   9.000000000000000E-007,       0.7891580000000000,    0.0002430000000000000,    0.0002998531000000000,    0.0001998982000000000,       0.0000000000000000,       0.0000000000000000
