Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction CO end point,Mole fraction NO2 end point,Mole fraction N2O end point
1200,0.0006,5.16E-17,0.000309255,2.45E-06,9.13E-07,3.49E-08
1225,0.0006,2.94E-16,0.000322943,3.35E-06,8.74E-07,3.82E-08
1250,0.0006,2.69E-17,0.000335619,4.70E-06,8.39E-07,4.21E-08
550,0.0009,0.000299999,0.000199996,0.000899999,0,0
575,0.0009,0.000299998,0.000199994,0.000899998,0,0
600,0.0009,0.000299995,0.000199988,0.000899996,0,0
625,0.0009,0.000299987,0.000199974,0.000899991,1.27E-08,0
650,0.0009,0.000299964,0.000199935,0.000899978,2.84E-08,0
675,0.0009,0.000299895,0.000199822,0.000899943,7.20E-08,0
700,0.0009,0.000299613,0.000199381,0.000899814,2.35E-07,0
725,0.0009,0.000296291,0.000194492,0.00089839,1.90E-06,0
750,0.0009,0.000270534,0.00016481,0.000886927,8.56E-06,4.09E-07
775,0.0009,0.00022393,0.000123858,0.000864069,1.08E-05,1.88E-06
800,0.0009,0.000150851,6.70E-05,0.000819685,8.49E-06,5.22E-06
825,0.0009,8.38E-08,3.56E-05,0.000331479,2.22E-06,8.88E-06
850,0.0009,1.97E-12,5.60E-05,6.64E-05,2.72E-06,6.89E-06
875,0.0009,4.88E-13,7.88E-05,3.28E-05,2.73E-06,6.23E-06
900,0.0009,1.20E-13,0.000104457,2.18E-05,2.76E-06,5.65E-06
925,0.0009,3.64E-14,0.000130745,1.61E-05,2.75E-06,4.87E-06
950,0.0009,1.17E-14,0.000156301,1.22E-05,2.68E-06,3.84E-06
975,0.0009,6.05E-15,0.000180455,9.36E-06,2.53E-06,2.68E-06
1000,0.0009,1.10E-15,0.000202954,7.12E-06,2.30E-06,1.60E-06
1025,0.0009,2.95E-16,0.000223769,5.36E-06,2.03E-06,7.88E-07
1050,0.0009,6.11E-17,0.000242965,3.99E-06,1.75E-06,3.13E-07
1075,0.0009,5.68E-16,0.000260657,2.96E-06,1.51E-06,1.08E-07
1100,0.0009,5.37E-18,0.00027696,2.24E-06,1.32E-06,4.58E-08
1125,0.0009,9.90E-18,0.000292033,1.83E-06,1.19E-06,3.26E-08
1150,0.0009,2.22E-16,0.000306005,1.74E-06,1.10E-06,3.12E-08
1175,0.0009,7.83E-18,0.000318989,1.97E-06,1.03E-06,3.25E-08
1200,0.0009,1.59E-15,0.0003311,2.53E-06,9.68E-07,3.51E-08
1225,0.0009,1.73E-17,0.000342423,3.46E-06,9.19E-07,3.85E-08
1250,0.0009,2.71E-17,0.00035304,4.86E-06,8.76E-07,4.24E-08
550,0.0012,0.000299999,0.000199996,0.001199999,0,0
575,0.0012,0.000299998,0.000199992,0.001199997,0,0
600,0.0012,0.000299993,0.000199984,0.001199994,0,0
625,0.0012,0.000299982,0.000199962,0.001199985,1.88E-08,0
650,0.0012,0.000299946,0.000199899,0.00119996,4.63E-08,0
675,0.0012,0.000299814,0.000199673,0.001199877,1.41E-07,0
700,0.0012,0.000298702,0.000197859,0.001199233,8.60E-07,0
725,0.0012,0.000282197,0.000176125,0.00118953,7.45E-06,1.96E-07
750,0.0012,0.000244897,0.000140544,0.001166025,1.15E-05,1.26E-06
775,0.0012,0.000183315,9.06E-05,0.001121027,1.08E-05,3.93E-06
800,0.0012,3.50E-05,1.82E-05,0.000894979,2.48E-06,1.09E-05
825,0.0012,1.40E-11,5.37E-05,0.000129215,3.23E-06,7.88E-06
850,0.0012,1.04E-12,8.08E-05,5.41E-05,3.37E-06,7.09E-06
875,0.0012,2.20E-13,0.000110765,3.39E-05,3.44E-06,6.61E-06
900,0.0012,3.55E-14,0.000140775,2.43E-05,3.44E-06,5.93E-06
925,0.0012,2.04E-14,0.000169086,1.82E-05,3.37E-06,4.94E-06
950,0.0012,6.75E-15,0.000194971,1.38E-05,3.21E-06,3.71E-06
975,0.0012,2.01E-15,0.000218262,1.05E-05,2.95E-06,2.45E-06
1000,0.0012,5.77E-16,0.000239092,7.88E-06,2.63E-06,1.38E-06
1025,0.0012,1.37E-16,0.000257712,5.84E-06,2.27E-06,6.43E-07
1050,0.0012,-9.61E-16,0.000274401,4.26E-06,1.93E-06,2.46E-07
1075,0.0012,6.81E-18,0.000289455,3.10E-06,1.64E-06,8.76E-08
1100,0.0012,4.13E-18,0.000303124,2.30E-06,1.42E-06,4.17E-08
1125,0.0012,4.35E-18,0.000315656,1.87E-06,1.27E-06,3.21E-08
1150,0.0012,4.61E-18,0.000327258,1.77E-06,1.16E-06,3.11E-08
1175,0.0012,6.42E-18,0.000338091,2.01E-06,1.08E-06,3.27E-08
1200,0.0012,2.41E-18,0.000348274,2.60E-06,1.01E-06,3.54E-08
1225,0.0012,1.87E-17,0.000357904,3.58E-06,9.53E-07,3.88E-08
1250,0.0012,3.00E-17,0.00036705,5.02E-06,9.03E-07,4.28E-08
