,temperature,NO_Detail
0,823.15,0.9999906666666667
1,848.15,0.9999893333333335
2,873.15,0.9999853333333334
3,898.15,0.9999760000000001
4,923.15,0.999954
5,948.15,0.9999053333333334
6,973.15,0.9997960000000002
7,998.15,0.9995486666666668
8,1023.15,0.9989493333333334
9,1048.15,0.9972420000000001
10,1073.15,0.9893246666666669
11,1098.15,0.8935460000000002
12,1123.15,0.6815446666666667
13,1148.15,0.48653920000000006
14,1173.15,0.3420628666666667
15,1198.15,0.2792464
16,1223.15,0.2987898666666667
17,1248.15,0.35586720000000005
18,1273.15,0.42773806666666675
19,1298.15,0.5133582666666666
20,1323.15,0.6121308000000001
21,1348.15,0.7206486666666667
22,1373.15,0.834234
23,1398.15,0.9483220000000001
24,1423.15,1.0591926666666667
25,1448.15,1.1641406666666667
26,1473.15,1.2615040000000002
27,1498.15,1.3504793333333334
28,1523.15,1.4310013333333336
29,1548.15,1.5034713333333334
30,1573.15,1.56867
31,1598.15,1.6276286666666668
32,1623.15,1.6815880000000003
33,1648.15,1.7319946666666666
34,1673.15,1.78059
35,1698.15,1.8295740000000003
36,1723.15,1.8818486666666667
37,1748.15,1.9413726666666666
38,1773.15,2.0138153333333335
39,1798.15,2.1072873333333337
40,1823.15,2.233573333333333
41,,0.999988000008
42,,0.9999833333444446
43,,0.99997000002
44,,0.9999346667102224
45,,0.9998346667768888
46,,0.9995020003319998
47,,0.9974840016773322
48,,0.9215573856284096
49,,0.7663561557625629
50,,0.596110402593065
51,,0.4087207941861372
52,,0.21361905758729496
53,,0.17490281673145552
54,,0.26642575571616284
55,,0.3817796788135475
56,,0.5074007283995144
57,,0.6340415773056151
58,,0.7568634954243364
59,,0.8731854178763881
60,,0.9817626788248809
61,,1.0820606119595921
62,,1.1741092172605219
63,,1.2581978278681147
64,,1.3348191101205933
65,,1.404634396910402
66,,1.4681843545437636
67,,1.526067649288234
68,,1.5788829474113684
69,,1.6272802484798345
70,,1.6718628854247433
71,,1.7133308577794282
72,,1.7523894984070012
73,,1.7900061399959069
74,,1.8272207818528121
75,,1.8655200896532735
76,,1.9068633954244032
77,,1.9540280306479796
78,,2.0109993260004493
79,,2.0835619442920374
80,,2.180105213263191
81,,2.312810458126361
82,,0.9999793333333336
83,,0.999954
84,,0.9998553333333333
85,,0.9988666666666667
86,,0.8944893333333334
87,,0.7354740000000002
88,,0.5752102000000001
89,,0.3877768
90,,0.19090420000000002
91,,0.18943753333333335
92,,0.3597006666666667
93,,0.5560745333333335
94,,0.7480773333333334
95,,0.9237120000000001
96,,1.078512666666667
97,,1.21187
98,,1.3252673333333334
99,,1.4210046666666667
100,,1.5015846666666668
101,,1.5692993333333336
102,,1.6261833333333333
103,,1.673964666666667
104,,1.7142100000000002
105,,1.7484366666666666
106,,1.7778773333333335
107,,1.8037420000000002
108,,1.8268786666666668
109,,1.848208
110,,1.868158666666667
111,,1.8875606666666669
112,,1.9069546666666668
113,,1.9267800000000004
114,,1.9479233333333335
115,,1.9713500000000004
116,,1.9984380000000002
117,,2.0311860000000004
118,,2.0725026666666673
119,,2.1266540000000003
120,,2.1998433333333334
121,,2.301136666666667
122,,2.4436166666666668
