,temperature,NO_Detail
0,923.15,0.9999660000000001
1,1010.65,0.9995586666666667
2,1098.15,0.9709813333333334
3,1185.65,0.6113104666666667
4,1273.15,0.6582712666666667
5,,0.9999173333333335
6,,0.9694433333333334
7,,0.6104786666666667
8,,0.6023229333333334
9,,0.8215580000000001
10,,0.9927806666666666
11,,0.6360221333333335
12,,0.6240990000000001
13,,0.923702
14,,1.1323606666666668
