,temperature,NO_Detail
0,823.15,0.9999906666666667
1,848.15,0.9999893333333335
2,873.15,0.9999853333333334
3,898.15,0.9999760000000001
4,923.15,0.999954
5,948.15,0.9999053333333334
6,973.15,0.9997960000000002
7,998.15,0.9995486666666668
8,1023.15,0.9989493333333334
9,1048.15,0.9972420000000001
10,1073.15,0.9893246666666669
11,1098.15,0.8935460000000002
12,1123.15,0.6815446666666667
13,1148.15,0.48653920000000006
14,1173.15,0.3420628666666667
15,1198.15,0.2792464
16,1223.15,0.2987898666666667
17,1248.15,0.35586720000000005
18,1273.15,0.42773806666666675
19,1298.15,0.5133582666666666
20,1323.15,0.6121308000000001
21,1348.15,0.7206486666666667
22,1373.15,0.834234
23,1398.15,0.9483220000000001
24,1423.15,1.0591926666666667
25,1448.15,1.1641406666666667
26,1473.15,1.2615040000000002
27,1498.15,1.3504793333333334
28,1523.15,1.4310013333333336
29,1548.15,1.5034713333333334
30,1573.15,1.56867
31,1598.15,1.6276286666666668
32,1623.15,1.6815880000000003
33,1648.15,1.7319946666666666
34,1673.15,1.78059
35,1698.15,1.8295740000000003
36,1723.15,1.8818486666666667
37,1748.15,1.9413726666666666
38,1773.15,2.0138153333333335
39,1798.15,2.1072873333333337
40,1823.15,2.233573333333333
41,,0.9999893333333335
42,,0.9999853333333334
43,,0.9999740000000001
44,,0.9999413333333333
45,,0.9998413333333335
46,,0.9994213333333334
47,,0.9854426666666667
48,,0.8070906666666667
49,,0.6264075333333334
50,,0.4478326
51,,0.2822224666666667
52,,0.17008686666666667
53,,0.165069
54,,0.23726913333333335
55,,0.32822286666666667
56,,0.4356210666666667
57,,0.5548544
58,,0.6798846666666668
59,,0.804766
60,,0.9250033333333334
61,,1.037734
62,,1.141478
63,,1.2357793333333333
64,,1.3209013333333335
65,,1.3974946666666668
66,,1.4662526666666669
67,,1.5280166666666668
68,,1.583564666666667
69,,1.633708
70,,1.6792706666666668
71,,1.7210960000000002
72,,1.7600713333333333
73,,1.7971906666666668
74,,1.833638666666667
75,,1.870908666666667
76,,1.9110133333333337
77,,1.9567493333333337
78,,2.0121306666666667
79,,2.082946
80,,2.1776313333333337
81,,2.3084340000000005
82,,0.9999833333333334
83,,0.999964
84,,0.9998726666666667
85,,0.9946826666666667
86,,0.7702846666666668
87,,0.5805597333333334
88,,0.411694
89,,0.26345013333333334
90,,0.17545786666666666
91,,0.17797886666666668
92,,0.26156846666666667
93,,0.3751019333333334
94,,0.5153339333333334
95,,0.6760386666666667
96,,0.8445926666666668
97,,1.006664
98,,1.1527533333333333
99,,1.27944
100,,1.3870626666666668
101,,1.4776666666666667
102,,1.5536986666666668
103,,1.6174493333333335
104,,1.6709746666666667
105,,1.71615
106,,1.7545680000000001
107,,1.7875613333333333
108,,1.816256
109,,1.8416546666666669
110,,1.8646433333333337
111,,1.8860153333333336
112,,1.9064773333333334
113,,1.9268026666666669
114,,1.9477893333333336
115,,1.970548666666667
116,,1.9964133333333336
117,,2.0274766666666673
118,,2.0666013333333337
119,,2.118052666666667
120,,2.188040666666667
121,,2.2856346666666667
122,,2.423952666666667
