,Time,NO_Overall,NO_Detail,NH3_Overall,NH3_Detail,Err_NO,Err_NH3
0,0.0,0.0002,0.0002,0.0003,0.0003,0.0,0.0
1,0.031537631578947366,0.00033287800000000005,0.00033185566272136437,-2.5773852886383362e-23,1.5227998817822038e-13,2.612933778220497e-05,2.576577200823181e-19
2,0.06307526315789473,0.00033287800000000005,0.0003322229524611288,-1.383971240352025e-27,7.112360784082816e-16,1.0727181954531587e-05,5.6206306581284454e-24
3,0.09461289473684209,0.00033287800000000005,0.0003324260451075685,-4.278183803411996e-28,1.2773077941208848e-16,5.1065806198206755e-06,1.812794667703211e-25
4,0.12615052631578946,0.00033287800000000005,0.0003325665204829436,-3.0702812395187483e-31,1.2693220648485116e-16,2.4254872386429984e-06,1.7901983381236632e-25
5,0.15768815789473684,0.00033287800000000005,0.00033267030217523245,-2.0073664827365086e-31,1.0751742488894608e-15,1.0784596603297661e-06,1.2844440727500189e-23
6,0.18922578947368418,0.00033287800000000005,0.00033275176382315663,-9.444526798858048e-32,5.864299946761586e-16,3.9838930860104297e-07,3.8211126517319954e-24
7,0.22076342105263155,0.00033287800000000005,0.00033281894948404886,-3.966997908766367e-35,1.9732934142075714e-16,8.717408585252674e-08,4.326540998394416e-25
8,0.2523010526315789,0.00033287800000000005,0.0003328769382347516,-3.3810982013993517e-35,5.869060178395521e-17,2.818363606891786e-11,3.82731859751423e-26
9,0.28383868421052627,0.00033287800000000005,0.00033292868264211934,-2.795197383031469e-35,4.100850980338595e-17,6.421825530480691e-08,1.8685531958826684e-26
10,0.31537631578947367,0.00033287800000000005,0.0003329763332778198,-2.2092959289001523e-35,9.469290426821802e-17,2.417358381694279e-07,9.963051243055449e-26
11,0.346913947368421,0.00033287800000000005,0.0003330212334573604,-1.6233952215331374e-35,9.053040529614981e-17,5.128955826849932e-07,9.106393647872389e-26
12,0.37845157894736836,0.00033287800000000005,0.00033306422102496265,-1.0374945141661226e-35,9.125339430678785e-17,8.669567534530525e-07,9.252424413900112e-26
13,0.40998921052631576,0.00033287800000000005,0.00033310587787084534,-4.515945048616184e-36,8.861897487681822e-17,1.298208100524626e-06,8.725914120242379e-26
14,0.4415268421052631,0.00033287800000000005,0.0003331466801672609,1.8174925929121052e-37,8.857017881179943e-17,1.8047258069826845e-06,8.716307305282364e-26
15,0.4730644736842105,0.00033287800000000005,0.000333186829765183,9.827029446907231e-37,8.84831113418905e-17,2.384395596574156e-06,8.699178880823771e-26
16,0.5046021052631579,0.00033287800000000005,0.0003332266266976207,1.7836561539970437e-36,8.814745718196758e-17,3.0385143573473272e-06,8.633304675163123e-26
17,0.5361397368421053,0.00033287800000000005,0.00033326610174003933,2.5846097885012554e-36,8.814885542806197e-17,3.765574015537971e-06,8.633578570308191e-26
18,0.5676773684210525,0.00033287800000000005,0.0003333054197109958,3.3855621848706687e-36,8.812091617917523e-17,4.56719023369284e-06,8.628106520285807e-26
19,0.5992149999999999,0.00033287800000000005,0.0003333446,4.186515159790676e-36,8.8049e-17,5.442888999998891e-06,8.614029334444447e-26
