,Time,NO_Overall,NO_Detail,NH3_Overall,NH3_Detail,Err_NO,Err_NH3
0,0.0,0.0002,0.0002,0.0003,0.0003,0.0,0.0
1,0.03154711578947368,0.0003855673,0.0003778795943110988,-8.523524802905895e-10,1.149678005748628e-15,0.0014775204689791088,8.072296783562681e-12
2,0.06309423157894736,0.0003855675,0.000378525666245676,-1.3316739533860533e-09,4.601299183700923e-16,0.0012396855655884373,1.970396381792342e-11
3,0.09464134736842104,0.00038556776774521296,0.0003790153792790707,-1.8103468819176005e-09,4.1294927500446926e-16,0.0010733448652808608,3.6415081422575717e-11
4,0.12618846315789473,0.00038556800000000003,0.0003794203434510173,-2.2888055504375714e-09,3.8675573578427543e-16,0.000944842026106258,5.8207029090348165e-11
5,0.1577355789473684,0.0003855683,0.00037977625663038124,-2.7671548174810897e-09,3.721713400242879e-16,0.0008386941598886228,8.507942048467086e-11
6,0.1892826947368421,0.0003855685,0.0003801023444911098,-3.24530920408658e-09,3.6562766693647313e-16,0.0007469714011842653,1.1702260225865412e-10
7,0.22082981052631578,0.00038556877355834935,0.0003804100847412502,-3.723466106378605e-09,3.6990430524919605e-16,0.0006653017577916029,1.5404669555558528e-10
8,0.25237692631578945,0.0003855690000121206,0.0003807062795089136,-4.201622008670632e-09,3.440044607696371e-16,0.000591151267307748,1.961514488277665e-10
9,0.2839240421052631,0.0003855693,0.00038099511325474924,-4.679777395276121e-09,3.347476750456167e-16,0.0005230796095106905,2.433368844714075e-10
10,0.3154711578947368,0.0003855695529179943,0.0003812791802814885,-5.157813951349779e-09,3.281292631618458e-16,0.0004601824340019433,2.9558942379553237e-10
11,0.3470182736842105,0.0003855697793717657,0.00038156009760463,-5.635819182048138e-09,2.984780336632063e-16,0.0004019386968425039,3.529162357453143e-10
12,0.3785653894736842,0.00038557000582386814,0.0003818390088480026,-6.113823897543906e-09,3.081577425190242e-16,0.00034800846084794603,4.1532051575803776e-10
13,0.41011250526315784,0.0003855703,0.00038211661486683827,-6.591829451018657e-09,2.643825323572207e-16,0.00029819852497555956,4.828024332982904e-10
14,0.44165962105263157,0.00038557055873141065,0.0003823934156806753,-7.0697702312929715e-09,3.378619814236528e-16,0.0002523559491208999,5.553517322276618e-10
15,0.47320673684210524,0.00038557078518351316,0.0003826695758113563,-7.547492927174421e-09,3.465078184575383e-16,0.0002104253955272687,6.329406079586516e-10
16,0.5047538526315789,0.00038557101163728437,0.0003829453734622268,-8.025217137374007e-09,3.438528660097891e-16,0.00017234939565799264,7.156012846776602e-10
17,0.5363009684210526,0.00038557129999999997,0.000383220954365915,-8.502942347573592e-09,3.4433192260801075e-16,0.00013810311499155674,8.033337157981047e-10
18,0.5678480842105262,0.0003855715645431582,0.0003834963262494929,-8.98066504345504e-09,3.4308652140799884e-16,0.00010766534938736886,8.9613723094473e-10
19,0.5993951999999999,0.00038557180295289344,0.0003837715,-9.45838939769659e-09,3.443118e-16,8.102726805492161e-05,9.94012627908106e-10
