x,y
772.73,0.98519
798.88,0.93333
824.78,0.73333
850.09,0.18519
872.11,0.08148
900.47,0.14815
924.88,0.25926
949.33,0.4
973.82,0.56296
998.26,0.6963
1026.68,0.8
1049.09,0.92593
