x,y
671.61,0.96442
699.55,0.92761
723.35,0.80982
745.06,0.63313
770.74,0.44172
794.63,0.37546
820.61,0.3681
846.7,0.41963
870.96,0.57423
897.25,0.75092
921.57,0.94233
