Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO2 end point,Mole fraction NO end point,Mole fraction N2O end point
        100.0000000000000,    0.0003001241000000000,   2.677353000000000E-005,    0.0002733505000000000,       0.0000000000000000
        550.0000000000000,    0.0002985548000000000,   3.757056000000000E-006,    0.0002948487000000000,       0.0000000000000000
        575.0000000000000,    0.0002970470000000000,   3.650060000000000E-006,    0.0002934954000000000,   1.230046000000000E-008
        600.0000000000000,    0.0002937637000000000,   3.751156000000000E-006,    0.0002902262000000000,   2.619880000000000E-008
        625.0000000000000,    0.0002858255000000000,   4.204965000000000E-006,    0.0002821862000000000,   6.679170000000000E-008
        650.0000000000000,    0.0002648729000000000,   5.010577000000000E-006,    0.0002617311000000000,   2.044049000000000E-007
        675.0000000000000,    0.0002108010000000000,   5.409261000000000E-006,    0.0002121579000000000,   6.200880000000000E-007
        700.0000000000000,   8.996913000000000E-005,   4.229969000000000E-006,    0.0001089710000000000,   1.422551000000000E-006
        725.0000000000000,  -2.913776000000000E-014,   1.128175000000000E-006,   4.501732000000000E-005,   4.353034000000000E-007
        750.0000000000000,   2.913470000000000E-015,   9.954147000000000E-007,   5.177382000000000E-005,   7.765538000000000E-009
        775.0000000000000,   1.812215000000000E-019,   9.606486000000001E-007,   5.884721000000000E-005,   1.997470000000000E-009
        800.0000000000000,   4.751646000000000E-019,   9.207783000000000E-007,   6.585345000000000E-005,   2.525213000000000E-009
        825.0000000000000,   1.168962000000000E-018,   8.737441000000000E-007,   7.244400000000000E-005,   3.119098000000000E-009
        850.0000000000000,   2.788897000000000E-018,   8.251875000000000E-007,   7.879512000000000E-005,   3.817439000000000E-009
        875.0000000000000,   6.414588000000000E-018,   7.808509000000000E-007,   8.534172000000001E-005,   4.632072000000000E-009
        900.0000000000000,   1.417815000000000E-017,   7.433157000000000E-007,   9.244866000000000E-005,   5.575480000000000E-009
        925.0000000000000,   3.007557000000000E-017,   7.137210000000000E-007,    0.0001004692000000000,   6.660512000000000E-009
        950.0000000000000,   6.123417000000000E-017,   6.925049000000000E-007,    0.0001097717000000000,   7.900314000000000E-009
        975.0000000000000,   1.198144000000000E-016,   6.796806000000000E-007,    0.0001207408000000000,   9.308250000000000E-009
        1000.000000000000,   2.258647000000000E-016,   6.746391000000000E-007,    0.0001337034000000000,   1.089777000000000E-008
        1025.000000000000,   4.116312000000000E-016,   6.761594000000000E-007,    0.0001488659000000000,   1.268225000000000E-008
        1050.000000000000,   7.281673000000000E-016,   6.823825000000000E-007,    0.0001662293000000000,   1.467482000000000E-008
        1075.000000000000,   1.255168000000000E-015,   6.912111000000000E-007,    0.0001856008000000000,   1.688816000000000E-008
        1100.000000000000,   2.114657000000000E-015,   7.010471000000000E-007,    0.0002067530000000000,   1.933447000000000E-008
        1125.000000000000,   3.488603000000000E-015,   7.114773000000000E-007,    0.0002296840000000000,   2.202559000000000E-008
        1150.000000000000,   5.639344000000000E-015,   7.237685000000000E-007,    0.0002549418000000000,   2.497334000000000E-008
        1175.000000000000,   8.930489000000000E-015,   7.410037000000000E-007,    0.0002839297000000000,   2.819015000000000E-008
        1200.000000000000,   1.384292000000000E-014,   7.682069000000001E-007,    0.0003192723000000000,   3.169010000000000E-008
        1225.000000000000,   2.097934000000000E-014,   8.124418000000000E-007,    0.0003652350000000000,   3.549104000000000E-008
        1250.000000000000,   3.105899000000000E-014,   8.825191000000000E-007,    0.0004280193000000000,   3.961849000000000E-008
