x,y
703.63,0.97914
723.2,0.72147
744.54,0.32393
770.31,0.18405
794.2,0.11779
820.2,0.11779
848.25,0.14724
872.38,0.22822
898.5,0.30184
920.65,0.39018
946.91,0.54479
973.1,0.66258
997.34,0.80245
1021.55,0.92761
