Reactant Fraction for CO C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Reactant Fraction for CO2 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for H2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
       0.0000000000000000,       0.0000000000000000,       0.1500000000000000,        550.0000000000000,       0.0000000000000000,    0.0002830188000000000,    0.0001886772000000000,       0.0000000000000000,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        550.0000000000000,    0.0003060000000000000,    0.0002999992000000000,    0.0001999962000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        550.0000000000000,    0.0002430000000000000,    0.0002999991000000000,    0.0001999956000000000,       0.0000000000000000,       0.0000000000000000
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        550.0000000000000,       0.0000000000000000,    0.0002999993000000000,    0.0001999962000000000,       0.0000000000000000,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        575.0000000000000,    0.0003060000000000000,    0.0002999979000000000,    0.0001999933000000000,       0.0000000000000000,       0.0000000000000000
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        575.0000000000000,    0.0002430000000000000,    0.0002999973000000000,    0.0001999917000000000,       0.0000000000000000,       0.0000000000000000
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        575.0000000000000,       0.0000000000000000,    0.0002999981000000000,    0.0001999939000000000,       0.0000000000000000,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        600.0000000000000,    0.0003060000000000000,    0.0002999930000000000,    0.0001999826000000000,   1.024180000000000E-008,       0.0000000000000000
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        600.0000000000000,    0.0002430000000000000,    0.0002999915000000000,    0.0001999789000000000,   1.235539000000000E-008,       0.0000000000000000
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        600.0000000000000,       0.0000000000000000,    0.0002999949000000000,    0.0001999882000000000,       0.0000000000000000,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        625.0000000000000,    0.0003060000000000000,    0.0002999594000000000,    0.0001999121000000000,   4.679176000000000E-008,       0.0000000000000000
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        625.0000000000000,    0.0002430000000000000,    0.0002999648000000000,    0.0001999228000000000,   4.179336000000000E-008,       0.0000000000000000
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        625.0000000000000,       0.0000000000000000,    0.0002999866000000000,    0.0001999736000000000,   1.272084000000000E-008,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        650.0000000000000,    0.0003060000000000000,    0.0002859841000000000,    0.0001775283000000000,   9.549411000000001E-006,   1.964850000000000E-007
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        650.0000000000000,    0.0002430000000000000,    0.0002987899000000000,    0.0001975698000000000,   1.230922000000000E-006,       0.0000000000000000
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        650.0000000000000,       0.0000000000000000,    0.0002999638000000000,    0.0001999351000000000,   2.837665000000000E-008,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        675.0000000000000,    0.0003060000000000000,    0.0002324869000000000,    0.0001281862000000000,   1.809246000000000E-005,   2.638977000000000E-006
    0.0005760000000000000,   9.000000000000000E-007,       0.1500270000000000,        675.0000000000000,    0.0002430000000000000,    0.0002726560000000000,    0.0001627511000000000,   1.360175000000000E-005,   6.183798000000000E-007
    0.0009000000000000000,       0.0000000000000000,       0.1500000000000000,        675.0000000000000,       0.0000000000000000,    0.0002998945000000000,    0.0001998224000000000,   7.204875000000001E-008,       0.0000000000000000
    0.0002070000000000000,   9.450000000000001E-005,       0.1502790000000000,        700.0000000000000,    0.0003060000000000000,    0.0001650244000000000,   8.157434000000000E-005,   1.618236000000000E-005,   7.422459000000000E-006
