,CH4Overall,CH4Detail,temperatureListX,CH4listAdd
0,0.9999954999999999,0.9999879999999999,800.0,0.0
1,0.999984,0.9999874999999999,825.0,0.0003
2,0.9999485,0.9999859999999999,850.0,0.0009
3,0.9998459999999998,0.9999819999999999,875.0,
4,0.9995639999999999,0.9999705,900.0,
5,0.9988299999999999,0.9999444999999999,925.0,
6,0.9970155,0.999886,950.0,
7,0.9927419999999999,0.999755,975.0,
8,0.9831555000000001,0.9994569999999999,1000.0,
9,0.962754,0.9987395,1025.0,
10,0.9219985,0.996745,1050.0,
11,0.8471754999999999,0.988303,1075.0,
12,0.7252470000000001,0.8788434999999999,1100.0,
13,0.556984,0.603171,1125.0,
14,0.37073465,0.3614094,1150.0,
15,0.22216745,0.19129685,1175.0,
16,0.17864429999999998,0.13442445,1200.0,
17,0.23173114999999997,0.16536445,1225.0,
18,0.29255190000000003,0.22087679999999998,1250.0,
19,0.3594632,0.28966479999999994,1275.0,
20,0.43119284999999996,0.37450495,1300.0,
21,0.5067649999999999,0.47547449999999997,1325.0,
22,0.5853364999999999,0.5899465,1350.0,
23,0.6661265,0.713454,1375.0,
24,0.7483915,0.8409969999999999,1400.0,
25,0.9982969999999999,0.9999874999999999,,
26,0.9957379999999999,0.9999870000000001,,
27,0.9898239999999999,0.9999834999999999,,
28,0.9768195,0.9999735000000001,,
29,0.9497809999999999,0.9999444999999999,,
30,0.8973694999999999,0.9998565,,
31,0.8051155,0.9995054999999999,,
32,0.6634724999999999,0.995714,,
33,0.4830339,0.632302,,
34,0.30369999999999997,0.29829145,,
35,0.1913842,0.1351019,,
36,0.19856615,0.0837985,,
37,0.25491489999999994,0.09127285,,
38,0.31831824999999997,0.1513661,,
39,0.38726334999999995,0.20669754999999998,,
40,0.4606162999999999,0.27083,,
41,0.537469,0.34482599999999997,,
42,0.6170074999999999,0.42890775000000003,,
43,0.6984675,0.522895,,
44,0.7811229999999999,0.626251,,
45,0.8642895,0.7379779999999999,,
46,0.9473239999999999,0.856428,,
47,1.0296344999999998,0.9792424999999999,,
48,1.1106844999999999,1.1033855,,
49,1.1899944999999998,1.225384,,
50,0.9909465,0.9999870000000001,,
51,0.979243,0.9999855,,
52,0.954704,0.9999794999999999,,
53,0.9066155,0.999956,,
54,0.8206614999999999,0.9998665,,
55,0.6858065,0.999308,,
56,0.5089885000000001,0.9863629999999999,,
57,0.3261733,0.3994247,,
58,0.19952145000000002,0.204073,,
59,0.19145925,0.17153714999999997,,
60,0.24670065,0.23454945,,
61,0.30923245,0.28692290000000004,,
62,0.37748884999999993,0.34574705,,
63,0.4502922999999999,0.4121707999999999,,
64,0.526713,0.48671844999999997,,
65,0.605928,0.569593,,
66,0.6871674999999999,0.6607109999999999,,
67,0.7696979999999999,0.7597004999999999,,
68,0.852836,0.865848,,
69,0.935925,0.978022,,
70,1.0183685,1.0946040000000001,,
71,1.099621,1.2134875,,
72,1.179196,1.3318889999999999,,
73,1.256677,1.4470604999999999,,
74,1.3316895,1.5560585,,
